forecast log return,lower_ci_95,lower_ci_99,upper_ci_95,upper_ci_99,Actual Price,sign,Increased or Not,Prediction Accuracy
-0.0001994294561197174,-0.00848056986683718,-0.011082692773702938,0.008081710954597745,0.010683833861463503,3852.22,,False,Not Correct
0.0001218952421790723,-0.00816254281068353,-0.010765701911809852,0.008406333295041675,0.011009492396167997,3855.95,N,True,Not Correct
0.0003129621858163601,-0.007971858591830592,-0.010575137953800105,0.008597782963463313,0.011201062325432826,3849.07,P,False,Not Correct
-0.00011978878822045162,-0.00840510968550896,-0.011008546196459282,0.008165532109068056,0.010768968620018379,3856.9,P,True,Correct
-8.819808771918643e-05,-0.008374242062711085,-0.010977905781142758,0.00819784588727271,0.010801509605704383,3851.74,N,False,Correct
0.0003230367575437818,-0.007963074174634426,-0.010566758932538878,0.008609147689721989,0.011212832447626442,3850.97,N,False,Correct
8.175853400022288e-05,-0.008205297574404804,-0.010809279328204613,0.008368814642405251,0.01097279639620506,3852.0,P,True,Correct
-0.0002011419966816595,-0.008488256218753126,-0.011092256233190377,0.008085972225389808,0.010689972239827058,3856.74,P,True,Correct
0.00018167380980842903,-0.008106140977391351,-0.010710361125346176,0.00846948859700821,0.011073708744963034,3854.92,N,False,Correct
0.00026552160904962715,-0.008022736249385702,-0.01062709562041298,0.008553779467484958,0.011158138838512235,3855.87,P,True,Correct
-0.00015539903537067974,-0.0084438936599299,-0.011048327428265278,0.008133095589188542,0.01073752935752392,3861.08,P,True,Correct
-2.3187045408443722e-05,-0.008312502399430911,-0.01091719405965445,0.008266128308614024,0.010870819968837563,3865.35,N,True,Not Correct
0.0003249952658047541,-0.00796432040389259,-0.010569012163308364,0.0086143109355021,0.011219002694917874,3861.12,N,False,Correct
1.6549893300291438e-05,-0.008273582601355661,-0.01087853102577532,0.008306682387956243,0.010911630812375901,3859.61,P,False,Not Correct
-0.00016976496924654198,-0.008460094715559582,-0.01106510512094199,0.008120564777066498,0.010725575182448906,3859.52,P,False,Not Correct
0.00023004833267445724,-0.008060724570417824,-0.010665874225752462,0.008520821235766739,0.011125970891101377,3860.88,N,True,Not Correct
0.00020982035657941453,-0.00808155888847653,-0.010686899070264627,0.008501199601635359,0.011106539783423457,3855.82,P,False,Not Correct
-0.0001747215106145624,-0.008466168183831052,-0.011071529553082762,0.008116725162601928,0.010722086531853638,3854.0,P,False,Not Correct
4.169697945786231e-05,-0.008250562707386,-0.010856179544034525,0.008333956666301726,0.01093957350295025,3852.92,N,False,Correct
0.00031093356647266554,-0.007981367798489208,-0.010586997731351565,0.008603234931434538,0.011208864864296895,3865.59,P,True,Correct
-4.0349429714172925e-05,-0.00833326891744671,-0.010939093078560372,0.008252570058018365,0.010858394219132027,3863.56,P,False,Not Correct
-0.00012681035126955144,-0.00842009373418223,-0.01102603223944863,0.008166473031643128,0.010772411536909526,3885.03,N,True,Not Correct
0.0002643018410033532,-0.008029200853214964,-0.01063520827108806,0.008557804535221671,0.011163811953094767,3881.75,N,False,Correct
0.00014989812444167312,-0.008144301768305676,-0.010750528261834182,0.008444098017189022,0.011050324510717528,3885.46,P,True,Correct
-0.00017794112496443817,-0.008472142311105504,-0.011078369211047772,0.008116260061176626,0.010722486961118894,3886.9,P,True,Correct
0.00010252382370470651,-0.008192388024210129,-0.010798838230265907,0.008397435671619543,0.011003885877675321,3902.37,N,True,Not Correct
0.00028304047439982436,-0.008012027489374187,-0.01061852675058821,0.008578108438173837,0.01118460769938786,3894.65,P,False,Not Correct
-8.617601859476582e-05,-0.008381641792222084,-0.010988266054351502,0.00820928975503255,0.01081591401716197,3900.11,P,True,Correct
-7.585159693897515e-05,-0.008371824896338911,-0.01097860863462418,0.00822012170246096,0.010826905440746229,3902.5,N,True,Not Correct
0.0002835305218650506,-0.008012509848991788,-0.01061931466265626,0.008579570892721888,0.01118637570638636,3905.57,N,True,Not Correct
8.974593693177648e-05,-0.008206993123884228,-0.010814017481845425,0.00838648499774778,0.010993509355708976,3898.0,P,False,Not Correct
-0.00016620401361207318,-0.008462972390953892,-0.011070005960835138,0.008130564363729746,0.010737597933610992,3891.48,P,False,Not Correct
0.00015593725110653447,-0.008141375851554049,-0.010748580586535704,0.008453250353767119,0.011060455088748774,3893.99,N,True,Not Correct
0.0002441624770771375,-0.00805344887164291,-0.01066074732232853,0.008541773825797185,0.011149072276482805,3901.0,P,True,Correct
-0.0001190691971898364,-0.0084168829857446,-0.011024245047636532,0.008178744591364926,0.010786106653256858,3916.53,P,True,Correct
-2.0650549133597522e-05,-0.008319055994622938,-0.010926603968597763,0.008277754896355745,0.01088530287033057,3934.7,N,True,Not Correct
0.0002878183898967769,-0.008010589700455002,-0.010618138505505836,0.008586226480248555,0.01119377528529939,3931.11,N,False,Correct
3.303625587660273e-05,-0.008265989529047668,-0.010873732427800192,0.008332062040800874,0.010939804939553398,3954.68,P,True,Correct
-0.00014146920331855605,-0.008440617971285022,-0.011048399514110147,0.00815767956464791,0.010765461107473034,4013.11,P,True,Correct
0.00019931091292656606,-0.008100194330101503,-0.010708087885509138,0.008498816155954634,0.011106709711362269,4004.71,N,False,Correct
0.00019757605588889711,-0.008102353429554822,-0.0107103802915909,0.008497505541332617,0.011105532403368694,4002.04,P,False,Not Correct
-0.00013810882112268367,-0.008438104320484736,-0.011046151925597316,0.00816188667823937,0.01076993428335195,4001.01,P,False,Not Correct
3.5086729918866854e-05,-0.008265508651971482,-0.010873744753835825,0.008335682111809215,0.010943918213673558,3996.19,N,False,Correct
